StructDmgFnId,ContDmgFnId,InvDmgFnId,Occupancy,Description,HazardR,HazardCA,HazardCV,Basement,StoriesMin,StoriesMax
106,30,,RES1,"one floor, w/ basement, Structure, A-Zone",0,1,1,1,1,1
107,23,,RES1,"two floors, no basement, Structure, A-Zone",1,1,0,0,2,2
108,24,,RES1,"two floors, w/ basement, Structure, A-Zone",1,1,0,1,2,2
109,25,,RES1,"three or more floors, no basement, Structure, A-Zone",1,1,0,0,3,1000
110,26,,RES1,"three or more floors, w/ basement, Structure, A-Zone",1,1,0,1,3,1000
111,27,,RES1,"split level, no basement, Structure, A-Zone",1,0,0,0,1,1
112,28,,RES1,"split level, w/ basement, Structure, A-Zone",1,1,0,1,1,1
115,488,,RES1,"two floors, no basement, Structure, V-Zone",0,0,1,0,2,2
116,32,,RES1,"two floors, w/ basement, Structure, V-Zone",0,0,1,1,2,2
117,488,,RES1,"three or more floors, no basement, Structure, V-Zone",0,0,1,0,3,1000
118,34,,RES1,"three or more floors, w/ basement, Structure, V-Zone",0,0,1,1,3,1000
120,36,,RES1,"split level, w/ basement, Structure, V-Zone",0,0,1,1,1,1
129,45,,RES1,"one story, no basement, Structure",1,0,0,0,1,1
189,74,,RES2,"Mobile home, structure, A-Zone",1,1,0,1,1,1
189,74,,RES2,"Mobile home, structure, A-Zone",1,0,0,0,1,1
190,75,,RES2,"Mobile home, structure, V-Zone",0,0,1,1,1,1
204,81,,RES3,"Apartment Unit Grade, Structure",1,0,0,0,1,2
204,81,,RES3,"Apartment Unit Grade, Structure",1,1,1,0,1,2
204,81,,RES3,"Apartment Unit Grade, Structure",1,1,1,0,3,4
204,81,,RES3,"Apartment Unit Grade, Structure",1,1,1,0,5,1000
205,82,,RES3,"Apartment Unit Sub-Grade, Structure",1,1,1,1,1,2
205,82,,RES3,"Apartment Unit Sub-Grade, Structure",1,1,1,1,3,4
205,82,,RES3,"Apartment Unit Sub-Grade, Structure",1,1,1,1,5,1000
209,85,,RES4,"Average Hotel & Motel, structure",1,1,1,1,1,3
209,85,,RES4,"Average Hotel & Motel, structure",1,1,1,0,1,3
209,85,,RES4,"Average Hotel & Motel, structure",1,1,1,1,4,6
209,85,,RES4,"Average Hotel & Motel, structure",1,1,1,0,4,6
209,85,,RES4,"Average Hotel & Motel, structure",1,1,1,1,7,1000
209,85,,RES4,"Average Hotel & Motel, structure",1,1,1,0,7,1000
214,88,,RES5,"Average institutional dormitory, structure",1,1,1,1,1,3
214,88,,RES5,"Average institutional dormitory, structure",1,1,1,0,1,3
214,88,,RES5,"Average institutional dormitory, structure",1,1,1,1,4,6
214,88,,RES5,"Average institutional dormitory, structure",1,1,1,0,4,6
214,88,,RES5,"Average institutional dormitory, structure",1,1,1,1,7,1000
214,88,,RES5,"Average institutional dormitory, structure",1,1,1,0,7,1000
215,89,,RES6,"Nursing Home, structure",1,1,1,1,1,3
215,89,,RES6,"Nursing Home, structure",1,1,1,0,1,3
215,89,,RES6,"Nursing Home, structure",1,1,1,1,4,6
215,89,,RES6,"Nursing Home, structure",1,1,1,0,4,6
215,89,,RES6,"Nursing Home, structure",1,1,1,1,7,1000
215,89,,RES6,"Nursing Home, structure",1,1,1,0,7,1000
217,90,1,COM1,"Average Retail, Structure",1,1,1,1,1,3
217,90,1,COM1,"Average Retail, Structure",1,1,1,0,1,3
217,90,1,COM1,"Average Retail, Structure",1,1,1,1,4,6
217,90,1,COM1,"Average Retail, Structure",1,1,1,0,4,6
217,90,1,COM1,"Average Retail, Structure",1,1,1,1,7,1000
217,90,1,COM1,"Average Retail, Structure",1,1,1,0,7,1000
341,195,46,COM2,"Average wholesale, Structure",1,1,1,1,1,3
341,195,46,COM2,"Average wholesale, Structure",1,1,1,0,1,3
